,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Wins
0,India,Australia,Australia,6 wickets,Ahmedabad,"Nov 19, 2023",ODI # 4705,14
1,Australia,South Africa,Australia,3 wickets,Eden Gardens,"Nov 16, 2023",ODI # 4704,14
2,India,New Zealand,India,70 runs,Wankhede,"Nov 15, 2023",ODI # 4703,25
3,India,Netherlands,India,160 runs,Bengaluru,"Nov 12, 2023",ODI # 4702,25
4,England,Pakistan,England,93 runs,Eden Gardens,"Nov 11, 2023",ODI # 4701,10
5,Australia,Bangladesh,Australia,8 wickets,Pune,"Nov 11, 2023",ODI # 4700,14
6,Afghanistan,South Africa,South Africa,5 wickets,Ahmedabad,"Nov 10, 2023",ODI # 4699,15
7,New Zealand,Sri Lanka,New Zealand,5 wickets,Bengaluru,"Nov 9, 2023",ODI # 4698,13
8,England,Netherlands,England,160 runs,Pune,"Nov 8, 2023",ODI # 4697,10
9,Afghanistan,Australia,Australia,3 wickets,Wankhede,"Nov 7, 2023",ODI # 4696,14
10,Bangladesh,Sri Lanka,Bangladesh,3 wickets,Delhi,"Nov 6, 2023",ODI # 4695,10
11,India,South Africa,India,243 runs,Eden Gardens,"Nov 5, 2023",ODI # 4694,25
12,Australia,England,Australia,33 runs,Ahmedabad,"Nov 4, 2023",ODI # 4693,14
13,New Zealand,Pakistan,Pakistan,21 runs,Bengaluru,"Nov 4, 2023",ODI # 4692,14
14,Afghanistan,Netherlands,Afghanistan,7 wickets,Lucknow,"Nov 3, 2023",ODI # 4691,7
15,India,Sri Lanka,India,302 runs,Wankhede,"Nov 2, 2023",ODI # 4690,25
16,New Zealand,South Africa,South Africa,190 runs,Pune,"Nov 1, 2023",ODI # 4689,15
17,Bangladesh,Pakistan,Pakistan,7 wickets,Eden Gardens,"Oct 31, 2023",ODI # 4688,14
18,Afghanistan,Sri Lanka,Afghanistan,7 wickets,Pune,"Oct 30, 2023",ODI # 4687,7
19,India,England,India,100 runs,Lucknow,"Oct 29, 2023",ODI # 4686,25
20,Bangladesh,Netherlands,Netherlands,87 runs,Eden Gardens,"Oct 28, 2023",ODI # 4685,7
21,Australia,New Zealand,Australia,5 runs,Dharamsala,"Oct 28, 2023",ODI # 4684,14
22,Pakistan,South Africa,South Africa,1 wicket,Chennai,"Oct 27, 2023",ODI # 4683,15
23,England,Sri Lanka,Sri Lanka,8 wickets,Bengaluru,"Oct 26, 2023",ODI # 4682,16
24,Australia,Netherlands,Australia,309 runs,Delhi,"Oct 25, 2023",ODI # 4681,14
25,Bangladesh,South Africa,South Africa,149 runs,Wankhede,"Oct 24, 2023",ODI # 4680,15
26,Afghanistan,Pakistan,Afghanistan,8 wickets,Chennai,"Oct 23, 2023",ODI # 4679,7
27,India,New Zealand,India,4 wickets,Dharamsala,"Oct 22, 2023",ODI # 4678,25
28,England,South Africa,South Africa,229 runs,Wankhede,"Oct 21, 2023",ODI # 4677,15
29,Netherlands,Sri Lanka,Sri Lanka,5 wickets,Lucknow,"Oct 21, 2023",ODI # 4676,16
30,Australia,Pakistan,Australia,62 runs,Bengaluru,"Oct 20, 2023",ODI # 4675,14
31,India,Bangladesh,India,7 wickets,Pune,"Oct 19, 2023",ODI # 4674,25
32,Afghanistan,New Zealand,New Zealand,149 runs,Chennai,"Oct 18, 2023",ODI # 4673,13
33,Netherlands,South Africa,Netherlands,38 runs,Dharamsala,"Oct 17, 2023",ODI # 4672,7
34,Australia,Sri Lanka,Australia,5 wickets,Lucknow,"Oct 16, 2023",ODI # 4671,14
35,Afghanistan,England,Afghanistan,69 runs,Delhi,"Oct 15, 2023",ODI # 4670,7
36,India,Pakistan,India,7 wickets,Ahmedabad,"Oct 14, 2023",ODI # 4669,25
37,Bangladesh,New Zealand,New Zealand,8 wickets,Chennai,"Oct 13, 2023",ODI # 4668,13
38,Australia,South Africa,South Africa,134 runs,Lucknow,"Oct 12, 2023",ODI # 4667,15
39,India,Afghanistan,India,8 wickets,Delhi,"Oct 11, 2023",ODI # 4666,25
40,Pakistan,Sri Lanka,Pakistan,6 wickets,Hyderabad,"Oct 10, 2023",ODI # 4665,14
41,Bangladesh,England,England,137 runs,Dharamsala,"Oct 10, 2023",ODI # 4664,10
42,Netherlands,New Zealand,New Zealand,99 runs,Hyderabad,"Oct 9, 2023",ODI # 4663,13
43,India,Australia,India,6 wickets,Chennai,"Oct 8, 2023",ODI # 4662,25
44,South Africa,Sri Lanka,South Africa,102 runs,Delhi,"Oct 7, 2023",ODI # 4661,15
45,Afghanistan,Bangladesh,Bangladesh,6 wickets,Dharamsala,"Oct 7, 2023",ODI # 4660,10
46,Netherlands,Pakistan,Pakistan,81 runs,Hyderabad,"Oct 6, 2023",ODI # 4659,14
